 ,1,2,3,
11年,0.999036392580471,0.9998684713649801,0.9715540047748966,
12年,0.9905290030978087,0.9997850474002886,0.9653088722400138,
13年,0.9905770273226676,0.9998740904149138,0.9738280779050008,
14年,0.9932029665362749,0.99923821581961,0.9933614602395705,
15年,0.9866969222965276,0.9941881695575714,0.38578276993683236,
16年,0.9507264494494423,0.9371287182012034, 0.6557546205458686,
17年,0.9962479535129809,0.8090764708294212,0.9842404839239144,
